id,title,date,time,category,summary
news_20251113_종목_0028,전자·車·방산부터 식품까지 韓 대표 기업인 대거 UAE행,2025-11-13,18:09,종목,이재용 삼성전자 회장이 이달 19일 중동 UAE를 방문해 한·UAE 비즈니스 라운드 테이블 행사에 참석할 예정이다. 이는 지난달 APEC을 계기로 한 한국 대통령과 UAE 아부다비 왕세자 간 만남의 후속 조치로 풀이되고 있다. UAE는 석유를 대체할 미래 먹거리로 인공지능과 반도체 등 첨단산업에 막대한 투자를 진행 중이다. 삼성전자는 메모리 반도체와 첨단 파운드리 사업을 모두 갖춘 점에서 U...
news_20251113_종목_0025,파죽지세 코스피 … AI·반도체·K뷰티에 투자자 시선 쏠려 [빅데이터로 본 재테크],2025-11-13,16:10,종목,"삼성전자는 투자자 검색 상위 4위를 차지하며 반도체 업종의 강세에 힘입어 10만원대 주가를 유지 중이다. 지난달 27일 '10만전자' 시대를 개막한 후 최근 일주일간 9만8천~10만3천원대에서 등락을 거듭하고 있다. SK하이닉스 다음으로 투자자 관심이 이어지는 가운데, 같은 반도체 업계의 에이피알이 3분기 영업이익 961억원으로 전년동기 대비 252.8% 증가하는 등 반도체 업황의 호조가 계..."
news_20251113_종목_0031,대세는 국장…금리 인하기 성장주 부활 [2026 투자 포트폴리오],2025-11-13,21:00,종목,"삼성전자는 SK하이닉스와 함께 시가총액 1~2위로 2026년 코스피 강세를 주도할 전망이다. 전 세계 AI 수요 확대로 대형 반도체주 주도가 지속되며, IT 업종 EPS가 35% 상승할 것으로 예상된다. 신한투자증권은 2026년 코스피 EPS가 23% 상승할 것으로 내다봤다. 코리아 디스카운트 해소와 정부 자본시장 정상화 정책으로 삼성전자 주가 부양이 전망되며, 미국 공급망 재편에서 한국 기..."
news_20251113_섹터_0020,핑크퐁·씨엠티엑스 코스닥 데뷔 [위클리 마켓],2025-11-13,16:10,섹터,11월 넷째주 반도체·소부장 기업들의 코스닥 상장이 본격화한다. 상반기 수주잔액 623억원의 그린광학(17일)과 TSMC 1차 협력사로 선정된 씨엠티엑스(20일) 등의 상장은 반도체 수급 증가에 따른 국내 소부장 수요 확대를 보여준다. 반도체 식각공정용 실리콘 파츠는 세라믹 대비 2배 이상 저렴하면서 높은 화학적 안정성으로 가격 경쟁력을 갖춘다. 우주항공·방산 분야의 초정밀 광학과 고부가가치...
news_20251113_섹터_0009,“유학간 애들 학비 큰일이네”…서학개미 역대급 매수에 더 오르는 환율,2025-11-13,08:33,섹터,"원/달러 환율이 달러당 1470원으로 상승하며 4월 이후 최저 수준을 기록했다. 거주자 해외주식 투자 급증과 수출 업체의 달러 보유 심화가 환율 상승을 견인했고, 달러 수요 쏠림으로 수급 불균형이 심화되고 있다. 반도체 수출 호조 등 펀더멘털과 달리 미국 약달러, 외국인 자금 유입 여건에서도 원화만 약세를 보이는 이례적 현상이 지속 중이다. 시장은 1480원을 심리적 마지노선으로 보며, 이..."
news_20251113_섹터_0010,“미국이 때리고 막아도 효과 없다”… 반도체 자체 공급망 완성한 이 회사,2025-11-13,08:35,섹터,중국은 화웨이 중심으로 자체 반도체 공급망을 구축하고 저가 전력으로 AI 경쟁력을 강화 중이다. 어센드 910C는 엔비디아 GB200 대비 성능 0.3배이나 클라우드 매트릭스 384는 규모의 경제로 1.7배 연산능력을 확보했다. 중국은 지난 20년 전력발전량 9배 증설로 세계 최대 전력생산국이 된 반면 미국은 정체다. 소프트웨어도 미·중 성능격차가 9.3%에서 1.7%로 축소되며 3~6개월...
news_20251113_섹터_0015,"NH아문디운용, ‘성장주도 코리아 펀드’ 시리즈 순자산 1000억 돌파",2025-11-13,12:01,섹터,"NH-Amundi 성장주도 코리아 펀드 시리즈의 순자산이 지난달 14일 설정 당시 313억원에서 11일 기준 1109억원으로 한 달여 만에 약 800억원 증가하며 1000억원을 돌파했다. AI 반도체·인프라, 방산, 조선, 원자력, 신재생에너지 등 정부 정책 지원이 맞물리는 산업에 집중 투자하고 있다. 주요 편입 종목은 삼성전자(16.97%), SK하이닉스(9.2%), LG에너지솔루션(3.0..."
news_20251113_섹터_0017,한국의 실리콘밸리 꿈꾸는 KAIST...5년간 창업기업 투자3.5조원,2025-11-13,14:56,섹터,"KAIST 딥테크 창업이 거대한 투자 성과를 기록하고 있다. 지난 5년간 창업기업이 3조5000원의 투자를 유치했으며, 200억 원 이상을 조달한 스타트업만 42개에 달한다. 의료AI 스타트업 배럴아이는 140억 원 규모 투자를 유치했고, AI 반도체 기업 리벨리온은 1조 원 기업가치의 유니콘으로 성장해 누적 6500억 원을 투자받았다. 삼성전자는 로봇 기업 레인보우로보틱스의 35% 지분을..."
news_20251113_섹터_0006,"“엔비디아와 오픈AI, 어디가 더 잘나갈까?”…‘승부사’ 손정의 선택은 여기",2025-11-13,06:01,섹터,"소프트뱅크가 엔비디아 주식 3210만주(58억달러)를 전량 매각하고 그 자금을 오픈AI(300억달러)와 스타게이트 AI데이터센터 프로젝트에 투입했다. AI 반도체 중심의 투자에서 소프트웨어·인프라 중심으로 전략 전환했다. 오픈AI 기업가치는 1570억달러에서 5000억달러로 급등했으며, 올해 말 소프트뱅크 누적투자액은 347억달러 전망이다. T모바일(91억달러), 도이치텔레콤(23억달러) 등..."
news_20251113_섹터_0016,"신한빠른대응 TDF2030, 3개월·6개월 수익률 1위",2025-11-13,13:51,섹터,"신한빠른대응TDF2030이 최근 3개월·6개월 수익률에서 각각 6.91%, 15.65%를 기록하며 2030 빈티지 펀드 중 1위를 달성했다. 한국 반도체 업종과 미국 대형 기술주 등 강세 자산에 비중을 확대하고 경기 변화에 따라 주식·채권·대체자산 비중을 신속히 조정하는 전술적 자산배분 전략으로 초과수익을 창출했다. 시장 변화에 빠르게 대응하는 동적 운용 방식이 우수한 성과로 이어졌다."
